temp,RH,WS,RF,FFMC,DMC,DC,ISI,month,fire
8.2,51,6.7,0,86.2,26.2,94.3,5.1,3,0
18,33,0.9,0,90.6,35.4,669.1,6.7,10,0
14.6,33,1.3,0,90.6,43.7,686.9,6.7,10,0
8.3,97,4,0.2,91.7,33.3,77.5,9,3,0
11.4,99,1.8,0,89.3,51.3,102.2,9.6,3,0
22.2,29,5.4,0,92.3,85.3,488,14.7,8,0
24.1,27,3.1,0,92.3,88.9,495.6,8.5,8,0
8,86,2.2,0,91.5,145.4,608.2,10.7,8,0
13.1,63,5.4,0,91,129.5,692.6,7,9,0
22.8,40,4,0,92.5,88,698.6,7.1,9,0
17.8,51,7.2,0,92.5,88,698.6,7.1,9,0
19.3,38,4,0,92.8,73.2,713,22.6,9,0
17,72,6.7,0,63.5,70.8,665.3,0.8,8,0
21.3,42,2.2,0,90.9,126.5,686.5,7,9,0
26.4,21,4.5,0,92.9,133.3,699.6,9.2,9,0
22.9,44,5.4,0,93.3,141.2,713.9,13.9,9,0
15.1,27,5.4,0,91.7,35.8,80.8,7.8,3,0
16.7,47,4.9,0,84.9,32.8,664.2,3,10,0
15.9,35,4,0,89.2,27.9,70.8,6.3,3,0
9.3,44,4.5,0,86.3,27.4,97.1,5.1,4,0
18.3,40,2.7,0,91,129.5,692.6,7,9,0
19.1,38,2.7,0,91.8,78.5,724.3,9.2,9,0
21,44,4.5,0,94.3,96.3,200,56.1,6,0
19.5,43,5.8,0,90.2,110.9,537.4,6.2,8,0
23.7,32,5.8,0,93.5,139.4,594.2,20.3,8,0
16.3,60,5.4,0,91.4,142.4,601.4,10.6,8,0
19,34,5.8,0,92.4,117.9,668,12.2,9,0
19.4,48,1.3,0,90.9,126.5,686.5,7,9,0
30.2,24,2.7,0,93.4,145.4,721.4,8.1,9,0
22.8,39,3.6,0,93.5,149.3,728.6,8.1,9,0
25.4,24,3.6,0,94.3,85.1,692.3,15.9,9,0
11.2,78,7.6,0,88.6,91.8,709.9,7.1,9,0
20.6,37,1.8,0,88.6,69.7,706.8,5.8,9,0
17.7,39,3.6,0,91.7,75.6,718.3,7.8,9,0
21.2,32,2.7,0,91.8,78.5,724.3,9.2,9,0
18.2,62,4.5,0,90.3,80.7,730.2,6.3,9,0
21.7,24,4.5,0,90.6,35.4,669.1,6.7,10,0
11.3,60,5.4,0,90,41.5,682.6,8.7,10,0
17.8,27,4,0,90.6,43.7,686.9,6.7,10,0
14.1,43,2.7,0,88.1,25.7,67.6,3.8,3,0
23.3,37,3.1,0,79.5,60.6,366.7,1.5,7,0
18.4,42,6.7,0,90.2,96.9,624.2,8.9,8,0
16.6,54,5.4,0,94.8,108.3,647.1,17,8,0
19.6,48,2.7,0,92.5,88,698.6,7.1,9,0
12.9,74,4.9,0,90.1,82.9,735.7,6.2,9,0
25.9,24,4,0,94.3,85.1,692.3,15.9,9,0
14.7,70,3.6,0,90.9,126.5,686.5,7,9,0
23,36,3.1,0,94.2,62.3,442.9,11,7,0
11.8,35,1.8,0,87.2,23.9,64.7,4.1,3,0
11,46,5.8,0,87.6,52.2,103.8,5,3,0
20.8,17,1.3,0,92.9,137,706.4,9.2,9,0
21.5,34,2.2,0,90.2,99.6,631.2,6.3,8,0
20.4,42,4.9,0,92.1,111.2,654.1,9.6,8,0
20.4,42,4.9,0,92.1,111.2,654.1,9.6,8,0
17.6,45,3.6,0,91.7,114.3,661.3,6.3,8,0
27.7,24,2.2,0,92.9,137,706.4,9.2,9,0
17.8,63,4.9,0,90.3,80.7,730.2,6.3,9,0
13.8,50,2.7,0,92.6,46.5,691.8,8.8,10,0
13.9,40,5.4,0,84,9.3,34,2.1,2,0
12.3,51,0.9,0,86.6,13.2,43,5.3,2,0
11.5,39,5.8,0,89.3,51.3,102.2,9.6,3,0
5.5,59,6.3,0,89.3,51.3,102.2,9.6,3,0
18.8,35,4.9,0,93,75.3,466.6,7.7,8,0
20.8,33,2.7,0,90.2,99.6,631.2,6.3,8,0
23.1,31,3.1,0,91.1,103.2,638.8,5.8,8,0
18.6,44,4.5,0,91.7,114.3,661.3,6.3,8,0
23,37,4.5,0,92.4,117.9,668,12.2,9,0
19.6,33,5.4,0,92.4,117.9,668,12.2,9,0
19.6,33,6.3,0,92.4,117.9,668,12.2,9,0
17.2,26,4.5,0,91.7,33.3,77.5,9,3,0
15.8,27,7.6,0,91.2,48.3,97.8,12.5,3,0
17.7,37,3.6,0,94.3,85.1,692.3,15.9,9,0
15.6,25,6.3,0,91.7,33.3,77.5,9,3,0
17.3,43,4.5,0,88.8,147.3,614.5,9,8,0
27.6,30,1.3,0,93.3,141.2,713.9,13.9,9,0
6.7,79,3.1,0,84.2,6.8,26.6,7.7,2,0
15.7,43,3.1,0,86.6,13.2,43,5.3,2,0
8.3,72,3.1,0,87.6,52.2,103.8,5,3,0
14.7,66,2.7,0,90.1,108,529.8,12.5,8,0
21.6,19,6.7,0,91,121.2,561.6,7,8,0
19.5,39,6.3,0,91.4,142.4,601.4,10.6,8,0
17.9,44,2.2,0,90.2,99.6,631.2,6.3,8,0
18.6,51,4.5,0,94.8,108.3,647.1,17,8,0
16.6,47,0.9,0,92.1,111.2,654.1,9.6,8,0
20.2,45,3.6,0,91.7,114.3,661.3,6.3,8,0
21.5,15,0.9,0,92.9,137,706.4,9.2,9,0
25.4,27,2.2,0,92.9,137,706.4,9.2,9,0
22.4,34,2.2,0,92.9,137,706.4,9.2,9,0
25.3,36,3.6,0,93.5,149.3,728.6,8.1,9,0
17.4,25,4.9,0,91.7,35.8,80.8,7.8,3,0
14.7,59,5.8,0,90.2,96.9,624.2,8.9,8,0
17.4,24,5.4,0,91.7,35.8,80.8,7.8,3,0
20.8,32,6.3,0,92.3,85.3,488,14.7,8,0
18.2,43,4.9,0,91.4,142.4,601.4,10.6,8,0
23.4,22,2.7,0,91.1,103.2,638.8,5.8,8,0
17.8,64,1.3,0,89.7,90,704.4,4.8,9,0
12.7,48,1.8,0,83.9,8,30.2,2.6,2,0
17.4,24,5.4,0,69,2.4,15.5,0.7,3,0
11.6,87,4.5,0,91.4,142.4,601.4,10.6,8,0
19.8,39,5.4,0,91.4,142.4,601.4,10.6,8,0
19.8,39,5.4,0,91.4,142.4,601.4,10.6,8,0
14.4,66,5.4,0,88.8,147.3,614.5,9,8,0
20.1,40,4,0,94.8,108.3,647.1,17,8,0
24.1,29,4.5,0,92.5,121.1,674.4,8.6,9,0
5.3,78,3.1,0,82.1,3.7,9.3,2.9,1,0
12.7,52,6.3,0,85.9,19.5,57.3,2.8,3,0
18.2,29,3.1,0,91.4,30.7,74.3,7.5,3,0
21.4,33,3.1,0,90.2,99.6,631.2,6.3,8,0
20.3,45,3.1,0,92.5,88,698.6,7.1,9,0
17.4,56,5.4,0,88.6,91.8,709.9,7.1,9,0
13.7,43,5.8,0,85.9,19.5,57.3,2.8,3,0
18.8,18,4.5,0,91.7,33.3,77.5,9,3,0
22.8,39,3.6,0,89.7,90,704.4,4.8,9,0
18.9,35,2.7,0,91.8,78.5,724.3,9.2,9,0
15.8,27,7.6,0,88.1,25.7,67.6,3.8,3,0
15.5,27,6.3,0,88.1,25.7,67.6,3.8,3,0
11.6,30,6.3,0,91.7,35.8,80.8,7.8,3,0
15.2,27,4.9,0,91.7,35.8,80.8,7.8,3,0
10.6,30,4,0,90.1,39.7,86.6,6.2,3,0
19.6,36,3.1,0,93,75.3,466.6,7.7,8,0
10.3,74,2.2,0,91.5,145.4,608.2,10.7,8,0
17.1,43,5.4,0,91.5,145.4,608.2,10.7,8,0
22.5,42,5.4,0,92.4,124.1,680.7,8.5,9,0
17.9,45,3.1,0,84.4,73.4,671.9,3.2,9,0
19.8,50,5.4,0,94.3,85.1,692.3,15.9,9,0
20.6,24,5.4,0,92.6,46.5,691.8,8.8,10,0
9,49,2.2,0,87.6,52.2,103.8,5,3,0
17.2,43,3.1,0,93.5,149.3,728.6,8.1,9,0
15.9,46,3.6,0,91.4,37.9,673.8,5.2,10,0
15.4,35,0.9,0,92.6,46.5,691.8,8.8,10,0
15.4,40,2.7,0,68.2,21.5,87.2,0.8,2,0
14,39,3.1,0,87.2,23.9,64.7,4.1,3,0
10.6,46,4.9,0,89.3,51.3,102.2,9.6,3,0
17.6,42,3.1,0,93.7,80.9,685.2,17.9,9,0
14.9,38,2.7,0,88.1,25.7,67.6,3.8,3,0
17.6,52,5.8,0,93.5,139.4,594.2,20.3,8,0
17.2,58,1.3,0,92.4,124.1,680.7,8.5,9,0
15.6,66,3.1,0,90.9,126.5,686.5,7,9,0
18,42,2.7,0,85.8,48.3,313.4,3.9,7,1
21.7,38,2.2,0,91,129.5,692.6,7,9,1
21.9,39,1.8,0,90.9,126.5,686.5,7,9,1
23.3,31,4.5,0,95.5,99.9,513.3,13.2,8,1
21.2,51,8.9,0,90.1,108,529.8,12.5,8,1
16.6,53,5.4,0,90,51.3,296.3,8.7,7,1
23.8,32,5.4,0,95.5,99.9,513.3,13.2,8,1
27.4,22,4,0,95.2,131.7,578.8,10.4,8,1
13.2,40,5.4,0,90.1,39.7,86.6,6.2,3,1
24.2,28,3.6,0,84.4,73.4,671.9,3.2,9,1
17.4,43,6.7,0,94.8,108.3,647.1,17,8,1
23.7,25,4.5,0,93.7,80.9,685.2,17.9,9,1
23.2,39,5.4,0,92.5,56.4,433.3,7.1,6,1
24.8,29,2.2,0,90.1,68.6,355.2,7.2,7,1
24.6,43,1.8,0,90.1,51.2,424.1,6.2,7,1
20.1,47,4.9,0,94.3,85.1,692.3,15.9,9,1
29.6,27,2.7,0,93.4,145.4,721.4,8.1,9,1
16.4,47,1.3,0,94.8,108.3,647.1,17,8,1
28.6,27,2.2,0,93.4,145.4,721.4,8.1,9,1
18.4,45,3.6,0,92.1,111.2,654.1,9.6,8,1
20.5,35,4,0,92.1,111.2,654.1,9.6,8,1
19,34,5.8,0,92.4,117.9,668,12.2,9,1
16.1,29,3.1,0,90.1,39.7,86.6,6.2,3,1
20.3,41,4,0,95.2,131.7,578.8,10.4,8,1
15.2,31,8.5,0,90.6,50.1,100.4,7.8,3,1
17.8,56,1.8,0,92.5,121.1,674.4,8.6,9,1
17.8,67,2.2,0,89.7,90,704.4,4.8,9,1
5.3,70,4.5,0,84.9,18.2,55,3,3,1
16.6,47,0.9,0,92.1,111.2,654.1,9.6,8,1
23.4,33,4.5,0,96,127.1,570.5,16.5,8,1
14.6,26,9.4,0,91.2,48.3,97.8,12.5,3,1
20.7,45,2.2,0,95.2,131.7,578.8,10.4,8,1
21.9,35,1.8,0,92.9,133.3,699.6,9.2,9,1
17.4,50,4,0,85.6,90.4,609.6,6.6,8,1
20.1,39,5.4,0,91.4,142.4,601.4,10.6,8,1
17.7,39,2.2,0,90.9,126.5,686.5,7,9,1
14.2,53,1.8,0,90.2,96.9,624.2,8.9,8,1
20.3,39,4.9,0,90.2,96.9,624.2,8.9,8,1
5.8,54,5.8,0,81.5,9.1,55.2,2.7,4,1
19.2,44,2.7,0,90.2,99.6,631.2,6.3,8,1
18.3,45,2.2,0,90.1,82.9,735.7,6.2,9,1
14.4,66,5.4,0,88.8,147.3,614.5,9,8,1
23.9,32,6.7,0,92.4,124.1,680.7,8.5,9,1
19.1,32,4,0,84.9,32.8,664.2,3,10,1
12.4,53,2.2,0,86.8,15.6,48.3,3.9,2,1
16.8,45,4.5,0,91.7,48.5,696.1,11.1,10,1
20.8,34,4.9,0,93.9,135.7,586.7,15.1,8,1
17.6,46,3.1,0,91,129.5,692.6,7,9,1
11.5,39,5.8,0,89.3,51.3,102.2,9.6,3,1
21,42,2.2,0,90.9,126.5,686.5,7,9,1
13.3,42,0.9,0,90.8,41.9,89.4,7.9,3,1
11.5,60,4,0,90.7,44,92.4,5.5,3,1
11.7,33,4,0,91.2,48.3,97.8,12.5,3,1
24.2,28,2.7,0,95.2,131.7,578.8,10.4,8,1
24.6,22,4.5,0,94.8,108.3,647.1,17,8,1
24.3,25,4,0,92.9,133.3,699.6,9.2,9,1
24.6,22,4.5,0,94.8,108.3,647.1,17,8,1
23.5,36,5.4,0,93.9,135.7,586.7,15.1,8,1
5.8,54,5.8,0,81.5,9.1,55.2,2.7,4,1
21.5,15,0.9,0,92.9,137,706.4,9.2,9,1
13.9,59,6.3,0,91,129.5,692.6,7,9,1
22.6,38,3.6,0,63.5,70.8,665.3,0.8,9,1
21.6,33,2.2,0,91,129.5,692.6,7,9,1
12.4,54,3.6,0,90.1,37.6,83.7,7.2,3,1
8.8,68,2.2,0,83.9,8.7,32.1,2.1,2,1
20.2,37,2.7,0,91.4,37.9,673.8,5.2,10,1
15.1,64,4,0,90.6,50.1,100.4,7.8,3,1
22.1,34,1.8,0,92.9,137,706.4,9.2,9,1
22.9,31,7.2,0,93.5,139.4,594.2,20.3,8,1
20.7,37,2.2,0,91,129.5,692.6,7,9,1
19.6,33,6.3,0,92.4,117.9,668,12.2,9,1
23.2,26,4.9,0,93.7,80.9,685.2,17.9,9,1
18.4,25,3.1,0,90.6,43.7,686.9,6.7,10,1
5.1,96,5.8,0,93.5,139.4,594.2,20.3,8,1
20.1,47,4.9,0,94.3,85.1,692.3,15.9,9,1
11,46,5.8,0,87.6,52.2,103.8,5,3,1
17,27,4.9,0,91.7,35.8,80.8,7.8,3,1
17,27,4.9,0,91.7,35.8,80.8,7.8,3,1
16.9,60,1.3,0,92.4,124.1,680.7,8.5,9,1
12.4,73,6.3,0,88.6,91.8,709.9,7.1,9,1
19.4,19,1.3,0,92.9,133.3,699.6,9.2,9,1
15.2,27,3.1,0,90.1,39.7,86.6,6.2,3,1
16.2,59,3.1,0,90.2,99.6,631.2,6.3,8,1
18.6,49,3.6,0,93.3,141.2,713.9,13.9,9,1
11,46,5.8,0,87.6,52.2,103.8,5,3,1
13.4,79,3.6,0,88.3,150.3,309.9,6.8,7,1
15.4,57,4.5,0,90.1,82.9,735.7,6.2,9,1
22.9,39,4.9,0,93.5,149.3,728.6,8.1,9,1
16.1,44,4,0,91.7,48.5,696.1,11.1,10,1
20.1,34,4.5,0,92.2,81.8,480.8,11.9,8,1
28.3,26,3.1,0,93.5,149.3,728.6,8.1,9,1
16.4,43,4,0,92.2,81.8,480.8,11.9,8,1
26.4,21,4.5,0,92.9,133.3,699.6,9.2,9,1
27.8,27,3.1,0,93.5,149.3,728.6,8.1,9,1
18.7,43,2.7,0,91,129.5,692.6,7,9,1
24.3,36,3.1,0,84.4,73.4,671.9,3.2,9,1
17.7,25,3.1,0,92.5,121.1,674.4,8.6,9,1
19.6,41,5.8,0,91.4,142.4,601.4,10.6,8,1
18.2,46,1.8,0,92.5,121.1,674.4,8.6,9,1
18.8,40,2.2,0,91,129.5,692.6,7,9,1
25.1,27,4,0,92.5,121.1,674.4,8.6,9,1
13.4,75,1.8,0,81.9,3,7.9,3.5,4,0
15.2,51,2.7,0,88,17.2,43.5,3.8,4,0
16.7,20,3.1,0,83,23.3,85.3,2.3,4,0
15.4,66,4,0,94.2,122.3,589.9,12.9,8,1
21.9,73,7.6,1,91.8,175.1,700.7,13.8,8,0
22.4,54,7.6,0,91.8,175.1,700.7,13.8,8,1
26.8,38,6.3,0,91.8,175.1,700.7,13.8,8,1
25.7,39,5.4,0,91.8,175.1,700.7,13.8,8,1
20.7,70,2.2,0,92.2,91.6,503.6,9.6,8,1
28.7,28,2.7,0,93.1,157.3,666.7,13.5,8,0
21.7,40,0.4,0,93.1,157.3,666.7,13.5,8,1
26.8,25,3.1,0,93.1,157.3,666.7,13.5,8,1
24,36,3.1,0,93.1,157.3,666.7,13.5,8,1
22.1,37,3.6,0,93.1,157.3,666.7,13.5,8,1
21.4,38,2.7,0,91.9,109.2,565.5,8,8,1
18.9,41,3.1,0,91.6,138.1,621.7,6.3,8,1
22.3,46,4,0,87.5,77,694.8,5,8,0
23.9,41,2.2,0,94.2,117.2,581.1,11,8,1
21.4,44,2.7,0,94.2,117.2,581.1,11,8,1
20.6,59,0.9,0,91.8,170.9,692.3,13.7,8,0
23.7,40,1.8,0,91.8,170.9,692.3,13.7,8,1
28.3,32,4,0,93.6,97.9,542,14.4,8,1
11.2,84,7.6,0,91.6,112.4,573,8.9,8,1
21.4,42,3.1,0,91.6,112.4,573,8.9,8,1
19.3,39,3.6,0,91.1,141.1,629.1,7.1,8,1
21.8,53,3.1,0,94.3,167.6,684.4,13,8,1
22.1,54,7.6,0,93.7,102.2,550.3,14.6,8,1
19.4,55,4,0,94.3,131.7,607.1,22.7,8,1
23.7,24,3.1,0,92.1,152.6,658.2,14.3,8,0
21,32,3.1,0,92.1,152.6,658.2,14.3,8,0
19.1,53,2.7,0,92.1,152.6,658.2,14.3,8,1
21.8,56,3.1,0,92.1,152.6,658.2,14.3,8,1
20.1,58,4.5,0,92.1,152.6,658.2,14.3,8,1
20.2,47,4,0,92.1,152.6,658.2,14.3,8,1
4.8,57,8.5,0,84.4,27.2,353.5,6.8,12,1
5.1,61,8,0,84,27.8,354.6,5.3,12,1
5.1,61,4.9,0,84.6,26.4,352,2,12,1
4.6,21,8.5,0,85.4,25.4,349.7,2.6,12,1
4.6,21,8.5,0,85.4,25.4,349.7,2.6,12,1
4.6,21,8.5,0,85.4,25.4,349.7,2.6,12,1
4.6,21,8.5,0,85.4,25.4,349.7,2.6,12,1
2.2,59,4.9,0,84.7,26.7,352.6,4.1,12,1
5.1,24,8.5,0,85.4,25.4,349.7,2.6,12,1
4.2,51,4,0,84.9,27.5,353.5,3.4,2,0
8.8,35,3.1,0,86.9,6.6,18.7,3.2,2,1
7.5,46,8,0,85.2,4.9,15.8,6.3,2,1
23.4,40,6.3,0,93.9,169.7,411.8,12.3,7,0
12.6,90,7.6,0.2,91.2,183.1,437.7,12.5,7,0
22.1,49,2.7,0,91.6,104.2,474.9,9,7,0
24.2,32,1.8,0,91.6,104.2,474.9,9,7,0
24.3,30,1.8,0,91.6,104.2,474.9,9,7,0
18.7,53,1.8,0,91.6,104.2,474.9,9,7,0
25.3,39,0.9,0,91.6,104.2,474.9,9,7,1
22.9,40,1.3,0,91.6,100.2,466.3,6.3,7,1
26.9,28,5.4,0,93.1,180.4,430.8,11,7,1
17.1,67,3.6,0,92.3,88.8,440.9,8.5,7,1
22.2,48,1.3,0,93.1,180.4,430.8,11,6,0
14.3,46,1.8,0,90.4,89.5,290.8,6.4,6,1
15.4,45,2.2,0,90.4,89.5,290.8,6.4,6,0
19.6,43,4.9,0,91.2,147.8,377.2,12.7,6,0
10.6,90,2.7,0,53.4,71,233.8,0.4,6,0
20.7,25,4.9,0,90.4,93.3,298.1,7.5,6,0
19.1,39,5.4,0,90.4,93.3,298.1,7.5,6,1
19.2,38,4.5,0,91.1,94.1,232.1,7.1,6,0
19.2,38,4.5,0,91.1,94.1,232.1,7.1,6,0
11.3,94,4.9,0,85.1,28,113.8,3.5,5,0
19,52,2.2,0,89.6,84.1,714.3,5.7,9,0
17.1,53,5.4,0,89.6,84.1,714.3,5.7,9,1
23.8,35,3.6,0,89.6,84.1,714.3,5.7,9,1
16,45,1.8,0,92.4,105.8,758.1,9.9,9,0
24.9,27,2.2,0,92.4,105.8,758.1,9.9,9,0
25.3,27,2.7,0,92.4,105.8,758.1,9.9,9,0
24.8,28,1.8,0,92.4,105.8,758.1,9.9,9,1
12.2,78,6.3,0,50.4,46.2,706.6,0.4,9,0
24.3,27,4.9,0,92.6,115.4,777.1,8.8,9,0
19.7,41,1.8,0,92.6,115.4,777.1,8.8,9,1
18.5,30,2.7,0,91.2,134.7,817.5,7.2,9,0
18.6,24,5.8,0,92.4,96.2,739.4,8.6,9,0
19.2,24,4.9,0,92.4,96.2,739.4,8.6,9,1
21.6,27,2.2,0,92.8,119,783.5,7.5,9,0
21.6,28,6.3,0,92.8,119,783.5,7.5,9,1
18.9,34,7.2,0,92.8,119,783.5,7.5,9,1
16.8,28,4,0,92.8,119,783.5,7.5,9,1
16.8,28,4,0,92.8,119,783.5,7.5,9,1
12.9,39,2.7,0,90.7,136.9,822.8,6.8,9,1
13.7,56,1.8,0,88.1,53.3,726.9,5.4,9,1
24.2,27,3.1,0,92.2,102.3,751.5,8.4,9,0
24.1,27,3.1,0,92.2,102.3,751.5,8.4,9,0
21.2,32,2.2,0,92.2,102.3,751.5,8.4,9,0
19.7,35,1.8,0,92.2,102.3,751.5,8.4,9,0
23.5,27,4,0,92.2,102.3,751.5,8.4,9,1
24.2,27,3.1,0,92.2,102.3,751.5,8.4,9,1
21.5,28,4.5,0,91.2,124.4,795.3,8.5,9,1
17.1,41,2.2,0,91.2,124.4,795.3,8.5,9,1
18.1,54,3.1,0,92.1,87.7,721.1,9.5,9,1
18,51,5.4,0,91.6,108.4,764,6.2,9,0
9.8,86,1.8,0,91.6,108.4,764,6.2,9,0
19.3,44,2.2,0,91.6,108.4,764,6.2,9,0
23,34,2.2,0,91.6,108.4,764,6.2,9,1
22.7,35,2.2,0,91.6,108.4,764,6.2,9,1
20.4,41,1.8,0,91.6,108.4,764,6.2,9,1
19.3,44,2.2,0,91.6,108.4,764,6.2,9,1
15.7,51,2.2,0,91.9,111.7,770.3,6.5,9,0
20.6,37,1.8,0,91.5,130.1,807.1,7.5,9,0
15.9,51,4.5,0,91.5,130.1,807.1,7.5,9,1
12.2,66,4.9,0,91.5,130.1,807.1,7.5,9,1
16.8,43,3.1,0,91.5,130.1,807.1,7.5,9,1
21.3,35,2.2,0,91.5,130.1,807.1,7.5,9,1
10.1,75,3.6,0,92.1,99,745.3,9.6,9,0
17.4,57,4.5,0,92.1,99,745.3,9.6,9,0
12.8,64,3.6,0,92.1,99,745.3,9.6,9,1
10.1,75,3.6,0,92.1,99,745.3,9.6,9,1
15.4,53,6.3,0,92.1,99,745.3,9.6,9,1
20.6,43,3.6,0,92.1,99,745.3,9.6,9,1
19.8,47,2.7,0,92.1,99,745.3,9.6,9,1
18.7,50,2.2,0,92.1,99,745.3,9.6,9,1
20.8,35,4.9,0,92.1,99,745.3,9.6,9,1
20.8,35,4.9,0,92.1,99,745.3,9.6,9,1
15.9,55,3.6,0,92.5,122,789.7,10.2,9,0
19.7,39,2.7,0,92.5,122,789.7,10.2,9,0
21.1,39,2.2,0,92.5,122,789.7,10.2,9,1
18.4,42,2.2,0,92.5,122,789.7,10.2,9,1
17.3,45,4,0,92.5,122,789.7,10.2,9,1
15.2,64,3.1,0,88.2,55.2,732.3,11.6,9,1
15.9,53,2.2,0,91.9,111.7,770.3,6.5,9,1
21.1,35,2.7,0,91.9,111.7,770.3,6.5,9,1
19.6,45,3.1,0,91.9,111.7,770.3,6.5,9,1
15.9,38,5.4,0,91.1,132.3,812.1,12.5,9,1
